date,price
2021-04-01,45.78
2021-04-05,49.61
2021-04-06,56.23
2021-04-07,58
2021-04-08,56
2021-04-09,53.65
2021-04-12,51.38
2021-04-13,51.35
2021-04-14,48.58
2021-04-15,47.45
2021-04-16,45.98
2021-04-19,42.08
2021-04-20,41
2021-04-21,41.86
2021-04-22,44.16
2021-04-23,46.37
2021-04-26,47.75
2021-04-27,46.64
2021-04-28,45.4
2021-04-29,45.15
2021-04-30,44.7
2021-05-03,46.11
2021-05-04,45.65
2021-05-05,42.01
2021-05-06,38.98
2021-05-07,36.14
2021-05-10,34.8
2021-05-11,40.46
2021-05-12,35.22
2021-05-13,34.3
2021-05-14,38.12
2021-05-17,37.91
2021-05-18,38.5
2021-05-19,38.37
2021-05-20,37.02
2021-05-21,37.53
2021-05-24,37.5
2021-05-25,37.08
2021-05-26,37.98
2021-05-27,38
2021-05-28,38
2021-06-01,38.53
2021-06-02,39.96
2021-06-03,39.6
2021-06-04,39.65
2021-06-07,41.67
2021-06-08,43.36
2021-06-09,43.41
2021-06-10,44.15
2021-06-11,46.95
2021-06-14,42.98
2021-06-15,42.92
2021-06-16,43.41
2021-06-17,43.15
2021-06-18,44.14
2021-06-21,42.87
2021-06-22,42.43
2021-06-23,43.08
2021-06-24,43.96
2021-06-25,42.56
2021-06-28,41.97
2021-06-29,40.74
2021-06-30,39.56
2021-07-01,39.05
2021-07-02,40.07
2021-07-06,40.63
2021-07-07,39.25
2021-07-08,39.3
2021-07-09,40.03
2021-07-12,39.54
2021-07-13,38.88
2021-07-14,37.84
2021-07-15,38.81
2021-07-16,38.14
2021-07-19,38.14
2021-07-20,39.41
2021-07-21,39.22
2021-07-22,40.26
2021-07-23,39.09
2021-07-26,39.08
2021-07-27,38.01
2021-07-28,37.79
2021-07-29,36.22
2021-07-30,35.59
2021-08-02,36.12
2021-08-03,35.68
2021-08-04,43.31
2021-08-05,40.86
2021-08-06,40.05
2021-08-09,39.9
2021-08-10,37.28
2021-08-11,37.71
2021-08-12,38.8
2021-08-13,38.49
2021-08-16,37.89
2021-08-17,37.01
2021-08-18,36.42
2021-08-19,35.45
2021-08-20,36.53
2021-08-23,36.14
2021-08-24,37.65
2021-08-25,37.79
2021-08-26,37.38
2021-08-27,37.68
2021-08-30,38.21
2021-08-31,38.47
2021-09-01,39.04
2021-09-02,39.3
2021-09-03,39.73
2021-09-07,35.86
2021-09-08,35.89
2021-09-09,37.47
2021-09-10,37.59
2021-09-13,37.44
2021-09-14,37.7
2021-09-15,38.01
2021-09-16,37.89
2021-09-17,37.34
2021-09-20,37.11
2021-09-21,37.43
2021-09-22,35.21
2021-09-23,35.28
2021-09-24,34.4
2021-09-27,33.57
2021-09-28,31.37
2021-09-29,30.92
2021-09-30,31.65
2021-10-01,31.95
2021-10-04,30.81
2021-10-05,31.2
2021-10-06,31.03
2021-10-07,31.99
2021-10-08,31.56
2021-10-11,30.49
2021-10-12,31.09
2021-10-13,31.77
2021-10-14,32.56
2021-10-15,33.03
2021-10-18,32.97
2021-10-19,33.15
2021-10-20,33.15
2021-10-21,33.36
2021-10-22,33.63
2021-10-25,33.9
2021-10-26,33.55
2021-10-27,33.9
2021-10-28,35.19
2021-10-29,34.91
2021-11-01,37
2021-11-02,36.03
2021-11-03,32.19
2021-11-04,32.14
2021-11-05,33.42
2021-11-08,33.67
2021-11-09,34.8
2021-11-10,34.41
2021-11-11,34.85
2021-11-12,35.23
2021-11-15,35.74
2021-11-16,36.54
2021-11-17,35.54
2021-11-18,32.94
2021-11-19,32.53
2021-11-22,30.83
2021-11-23,29.74
2021-11-24,29.82
2021-11-26,28.96
2021-11-29,30.26
2021-11-30,29.99
2021-12-01,28.59
2021-12-02,28.72
2021-12-03,26.36
2021-12-06,27.35
2021-12-07,28.13
2021-12-08,28.55
2021-12-09,26.4
2021-12-10,25.81
2021-12-13,25.71
2021-12-14,25.41
2021-12-15,25.45
2021-12-16,24.05
2021-12-17,24.21
2021-12-20,23.19
2021-12-21,24.21
2021-12-22,24.14
2021-12-23,25.09
2021-12-27,25.14
2021-12-28,24.85
2021-12-29,24.17
2021-12-30,24.5
2021-12-31,24.44
2022-01-03,25.54
2022-01-04,25
2022-01-05,24.01
2022-01-06,23.41
2022-01-07,23.22
2022-01-10,23.21
2022-01-11,24.17
2022-01-12,23.34
2022-01-13,22.57
2022-01-14,22.11
2022-01-18,20.71
2022-01-19,20.49
2022-01-20,20
2022-01-21,19.35
2022-01-24,19.85
2022-01-25,18.58
2022-01-26,18.42
2022-01-27,17.95
2022-01-28,18.8
2022-01-31,20.31
2022-02-01,20.82
2022-02-02,20.38
2022-02-03,19.97
2022-02-04,20.53
2022-02-07,20.63
2022-02-08,21.34
2022-02-09,22.21
2022-02-10,21.03
2022-02-11,19.7
2022-02-14,20.49
2022-02-15,20.85
2022-02-16,21.16
2022-02-17,20.13
2022-02-18,19.9
2022-02-22,19.47
2022-02-23,18.6
2022-02-24,19.95
2022-02-25,19.99
2022-02-28,20.33
2022-03-01,20.94
2022-03-02,20.82
2022-03-03,19.85
2022-03-04,17.58
2022-03-07,16.75
2022-03-08,17.28
2022-03-09,18.23
2022-03-10,17.83
2022-03-11,17.59
2022-03-14,16.72
2022-03-15,17.03
2022-03-16,18.81
2022-03-17,19.81
2022-03-18,20.06
2022-03-21,19.5
2022-03-22,20.52
2022-03-23,20.57
2022-03-24,21.27
2022-03-25,21.12
2022-03-28,21.73
2022-03-29,22.17
2022-03-30,22.71
2022-03-31,23.04
2022-04-01,23.26
